QUESTION	ANSWER	Tags	Cat	Rank in cat
What is the difference between a hot and cold bed?	Cold bed: All of your sheets and belongings in the vicinity of the bed remain put throughout the lease. No one sleeps in your bed, except you. We only have cold beds. Hot bed: Sheets and all belongings in the vicinity of the bed are removed when you are away from the apartment. Beds are assigned on a first come basis so you and others will sleep in different beds each stay. We do not offer hot beds as it tends to be more disruptive, crowded and noisy.	hot, cold, bed	General	
How do I get to / from the SFO airport?	Driving to the airport takes under 10 minutes with no traffic from the pad. Uber/Lyft are $9-15 depending on usage and traffic. Two shuttles operate near the complex. Search 'shuttle' for more info	directions, to the apartment, from the apartment, location	Transportation	
Can I receive mail or packages at the crashpad?	Yes! Before sending your package, please review the instructions for sending mail. Failure to address your package correctly could lead to a delayed, returned or lost package.	mail, packages	Amenities	
Where is the gym / fitness center?	The gym is located on the first floor of the leasing office, address 1080 Carolan Ave. *Enter the gym through the pool area * Do not go upstairs.	work out	Amenities	
When does the cleaning lady come?	The cleaning lady comes Mondays and Fridays between 9 am and 2pm. ST & DSF are deep cleaned Monday with Friday trash pickup. ZO & WF are reversed with Friday deep cleaning and Monday trash pick up.	cleaning, clean	General	
What do I do if I forgot my building key?	At the front of each building is a call box that you can call someone to get buzzed in. It varies whose name you search for depending on the apartment. Press call after you find the correct name for your pad: Sunny Tulip, search for Tsybulnik, Dasha. Zen Orchid: search for Palacios, Victor. Dancing Sunflower: search for Shinn, Austin. Wild Flower, search for Williams, Jeffry. If no one answers, post in the FB group.	forgot, building, key	General	
Do we bring our own towels and bedding?	Yes. We do not supply any bedding or towels. 	towels, bedding, bring	General	
How far is the apartment from the airport?	The apartment is 7ish minutes by car. The name of the complex is Northpark Apartments. All of the apartments we offer are located somewhere in that complex. The address to the main office (for googling purposes) is 1080 Carolan Ave Burlingame CA 94010.	location, directions	Transportation	
Are there any stores in the area?	Broadway Ave is about 8 min by foot. You’ll find a Walgreens, a supermarket called Farmer’s Market, along with many shops and restaurants. If you walk to Burlingame Ave (about 20min), you'll have a large selections of restaurants, shops, Apple store, and two large supermarkets, Safeway and Mollie.	location, directions, stores, food, grocery, groceries	General	
How much space are we given for our stuff?	Everyone gets the following: a toiletries bin, a dry goods bin, a fridge bin, and an underbed bin. There is space to hang your towel in the bathroom and for some shoes at the entrance. There will be closet space as well to hang some clothing. Depending on which room, this could be either in a closet or a wardrobe closet. Some rooms come with an additional drawer in a piece of furniture or a storgage cube. 	space, bins, shoes, stuff, closet, food, fridge, clothes	General	
